rank,name,country_name,country_id,active,dob,totalPoints,tournamentPoints,rankingPoints,achievementsPoints,tGPoints,tFLPoints,tMPoints,tOPoints,tABPoints,tDTPoints,yearEndRankPoints,bestRankPoints,weeksAtNo1Points,weeksAtEloTopNPoints,bestEloRatingPoints,grandSlamPoints,bigWinsPoints,h2hPoints,recordsPoints,bestSeasonPoints,greatestRivalriesPoints,performancePoints,statisticsPoints,grandSlams,tourFinals,altFinals,masters,olympics,bigTitles,titles,weeksAtNo1,wonLost,bestEloRating,bestEloRatingDate,wonPct
17,Ken Rosewall,Australia,AUS,false,1934-11-02,220,159,40,21,60,12,46,0,41,0,15,8,3,14,0,1,10,7,3,0,0,0,0,4,0,2,7,0,13,40,26,540-193,2388,1968-06-10,73.7%
254,Mal Anderson,Australia,AUS,false,1935-03-03,8,8,0,0,4,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,84-52,2051,1973-01-08,61.8%
527,Alejandro Olmedo,Peru,PER,false,1936-03-24,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,46-56,1975,1968-07-14,45.1%
155,Roy Emerson,Australia,AUS,false,1936-11-03,21,18,2,1,4,0,5,0,9,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,269-165,2225,1968-04-24,62.0%
527,Ramanathan Krishnan,India,IND,false,1937-04-11,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22-13,1840,1969-05-17,62.9%
375,Barry Phillips Moore,Australia,AUS,false,1937-07-09,4,4,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,200-223,1932,1972-07-29,47.3%
79,Andres Gimeno,Spain,ESP,false,1937-08-03,45,40,4,1,17,0,11,0,12,0,0,3,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,11,0,245-130,2261,1969-03-31,65.3%
527,Ron Holmberg,United States,USA,false,1938-01-27,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,45-69,1980,1968-09-12,39.5%
287,Manuel Santana,Spain,ESP,false,1938-05-10,6,6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,110-44,2157,1969-08-18,71.4%
10,Rod Laver,Australia,AUS,false,1938-08-09,389,202,101,86,45,10,84,0,61,2,35,8,22,28,8,21,17,19,19,5,0,5,0,5,0,2,18,0,25,72,219,571-145,2509,1969-09-10,79.7%
177,Fred Stolle,Australia,AUS,false,1938-10-08,16,15,0,1,4,0,8,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,5,0,173-166,2178,1969-06-30,51.0%
480,Wilhelm Bungert,Germany,GER,false,1939-04-01,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,65-33,2052,1968-07-26,66.3%
440,Christian Kuhnke,Germany,GER,false,1939-04-13,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,63-33,1977,1971-05-31,65.6%
269,Ion Tiriac,Romania,ROU,false,1939-05-09,7,7,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,227-198,2058,1968-07-15,53.4%
173,Nikola Pilic,Croatia,CRO,false,1939-08-27,17,17,0,0,5,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,302-249,2143,1968-04-04,54.8%
635,Boro Jovanovic,Croatia,CRO,false,1939-10-21,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59-85,1881,1973-06-16,41.0%
201,Bob Hewitt,South Africa,RSA,false,1940-01-12,13,13,0,0,0,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,264-169,2132,1970-07-06,61.0%
421,Bob Carmichael,Australia,AUS,false,1940-07-04,3,3,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,211-255,2002,1971-03-21,45.3%
527,Jan Leschly,Denmark,DEN,false,1940-09-11,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,52-34,2033,1968-02-27,60.5%
160,Earl Butch Buchholz,United States,USA,false,1940-09-16,20,18,1,1,3,0,4,0,11,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,95-78,2226,1968-05-17,54.9%
267,Martin Mulligan,Australia,AUS,false,1940-10-18,7,7,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,109-64,2136,1969-05-26,63.0%
111,Cliff Drysdale,South Africa,RSA,false,1941-05-26,31,30,0,1,3,0,17,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,8,0,398-246,2227,1971-08-17,61.8%
380,Pierre Barthes,France,FRA,false,1941-09-13,4,4,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182-184,2126,1968-02-23,49.7%
154,Roger Taylor,United Kingdom,GBR,false,1941-10-14,21,21,0,0,7,0,4,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,369-294,2118,1973-07-16,55.7%
82,Marty Riessen,United States,USA,false,1941-12-04,44,42,0,2,2,1,21,0,18,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,2,13,0,494-306,2223,1972-05-17,61.8%
440,Tom Edlefsen,United States,USA,false,1941-12-12,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,95-136,1889,1972-09-25,41.1%
308,Francois Jauffret,France,FRA,false,1942-02-09,6,6,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,212-140,2026,1976-06-14,60.2%
308,Juan Gisbert,Spain,ESP,false,1942-04-05,6,6,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,213-159,1985,1972-03-12,57.3%
348,Frank Froehling,United States,USA,false,1942-05-19,5,5,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80-112,1968,1971-10-15,41.7%
397,Frew Mcmillan,South Africa,RSA,false,1942-05-20,3,3,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,177-240,1932,1978-07-10,42.4%
160,Dennis Ralston,United States,USA,false,1942-07-27,20,18,1,1,5,0,3,0,10,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,152-128,2242,1968-06-07,54.3%
129,Mark Cox,United Kingdom,GBR,false,1943-07-05,25,24,0,1,1,0,8,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,14,0,397-274,2132,1977-03-28,59.2%
18,Arthur Ashe,United States,USA,false,1943-07-10,211,174,23,14,47,17,53,0,52,5,14,5,0,4,0,0,7,7,0,0,0,0,0,3,0,1,4,0,8,45,0,783-258,2354,1976-03-11,75.2%
635,Owen Davidson,Australia,AUS,false,1943-10-04,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82-108,2034,1969-04-22,43.2%
440,Milan Holecek,Czech Republic,CZE,false,1943-10-23,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,114-157,1858,1974-04-06,42.1%
144,Clark Graebner,United States,USA,false,1943-11-04,23,23,0,0,7,1,2,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,310-154,2147,1968-09-21,66.8%
223,Bill Bowrey,Australia,AUS,false,1943-12-25,10,10,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,99-109,2025,1968-04-01,47.6%
252,Charlie Pasarell,United States,USA,false,1944-02-12,8,8,0,0,1,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,284-269,2065,1968-06-24,51.4%
31,Tom Okker,Netherlands,NED,false,1944-02-22,123,106,11,6,18,5,40,0,43,0,5,3,0,3,0,0,5,1,0,0,0,0,0,0,0,0,4,0,4,34,0,643-274,2317,1974-04-01,70.1%
19,John Newcombe,Australia,AUS,false,1944-05-23,210,160,35,15,62,8,44,0,44,2,18,8,1,8,0,2,9,4,0,0,0,0,0,5,0,1,6,0,12,41,8,564-224,2327,1971-08-17,71.6%
635,Patricio Cornejo,Chile,CHI,false,1944-06-06,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152-216,1861,1974-06-17,41.3%
