season,date,name,level,surface,indoor,drawType,drawSize,playerCount,participation,strength,averageEloRating,winner_name,winner_seed,winner_country_name,winner_country_id,runnerUp_name,runnerUp_seed,runnerUp_country_name,runnerUp_country_id,score,titleDifficulty,titleAvgRank,titleAvgEloRating,speed
2023,2023-05-28,Roland Garros,G,C,false,KO,128,128,0.903112155020552,2857,2037,Novak Djokovic,3,Serbia,SRB,Casper Ruud,4,Norway,NOR,7-6(1) 6-3 7-5,0.9645906609249995,20.09554264351468,1998,
2022,2022-05-22,Roland Garros,G,C,false,KO,128,128,0.9154433352906636,2938,2052,Rafael Nadal,5,Spain,ESP,Casper Ruud,8,Norway,NOR,6-3 6-3 6-0,1.1103605410971613,13.242023159421322,2078,37
2021,2021-05-30,Roland Garros,G,C,false,KO,128,128,0.9189665296535525,2977,2059,Novak Djokovic,1,Serbia,SRB,Stefanos Tsitsipas,5,Greece,GRE,6-7(6) 2-6 6-3 6-2 6-4,1.0863430340178615,24.737743021744492,2044,38
2020,2020-09-28,Roland Garros,G,C,false,KO,128,128,0.913681738109219,2970,2058,Rafael Nadal,1,Spain,ESP,Novak Djokovic,2,Serbia,SRB,6-0 6-2 7-5,1.0217324374136518,44.09594700387801,1969,30
2019,2019-05-27,Roland Garros,G,C,false,KO,128,128,0.8943041691133294,2994,2063,Rafael Nadal,2,Spain,ESP,Dominic Thiem,4,Austria,AUT,6-3 5-7 6-1 6-1,1.0693205904494612,23.449609026628835,2022,47
2018,2018-05-28,Roland Garros,G,C,false,KO,128,128,0.8649442160892542,2958,2056,Rafael Nadal,1,Spain,ESP,Dominic Thiem,7,Austria,AUT,6-4 6-3 6-2,0.9954223283881659,27.846138157024956,2027,45
2017,2017-05-29,Roland Garros,G,C,false,KO,128,128,0.9448032883147387,3192,2100,Rafael Nadal,4,Spain,ESP,Stan Wawrinka,3,Switzerland,SUI,6-2 6-3 6-1,1.0272316764830374,19.402615804917613,2051,45
2016,2016-05-23,Roland Garros,G,C,false,KO,128,128,0.91015854374633,3181,2098,Novak Djokovic,1,Serbia,SRB,Andy Murray,2,United Kingdom,GBR,3-6 6-1 6-2 6-4,1.1156522454264173,23.43014351439524,2071,41
2015,2015-05-24,Roland Garros,G,C,false,KO,128,128,0.9495008807985907,3186,2099,Stan Wawrinka,8,Switzerland,SUI,Novak Djokovic,1,Serbia,SRB,4-6 6-4 6-3 6-4,1.186872410576883,14.236452367041972,2112,46
2014,2014-05-26,Roland Garros,G,C,false,KO,128,128,0.9518496770405167,3184,2098,Rafael Nadal,1,Spain,ESP,Novak Djokovic,2,Serbia,SRB,3-6 7-5 6-2 6-4,1.1637300271192157,25.42277347943844,2066,40
2013,2013-05-27,Roland Garros,G,C,false,KO,128,128,0.9013505578391074,3128,2088,Rafael Nadal,3,Spain,ESP,David Ferrer,4,Spain,ESP,6-3 6-2 6-3,1.1670696331811348,12.393587729534527,2123,42
2012,2012-05-27,Roland Garros,G,C,false,KO,128,128,0.9266001174398121,3199,2101,Rafael Nadal,2,Spain,ESP,Novak Djokovic,1,Serbia,SRB,6-4 6-3 2-6 7-5,1.1480186648289106,19.500232491076318,2083,40
2011,2011-05-22,Roland Garros,G,C,false,KO,128,128,0.9377568995889607,3126,2087,Rafael Nadal,1,Spain,ESP,Roger Federer,3,Switzerland,SUI,7-5 7-6(3) 5-7 6-1,1.1300616356407547,19.14687098151472,2084,46
2010,2010-05-24,Roland Garros,G,C,false,KO,128,128,0.8684674104521433,3041,2071,Rafael Nadal,2,Spain,ESP,Robin Soderling,5,Sweden,SWE,6-4 6-2 6-4,0.9499914320239649,37.760783931891275,1986,45
2009,2009-05-25,Roland Garros,G,C,false,KO,128,128,0.9412800939518496,3097,2082,Roger Federer,2,Switzerland,SUI,Robin Soderling,23,Sweden,SWE,6-1 7-6(1) 6-4,0.9619096211860769,27.585419923927024,2014,51
2008,2008-05-25,Roland Garros,G,C,false,KO,128,128,0.8813857897827363,2968,2058,Rafael Nadal,2,Spain,ESP,Roger Federer,1,Switzerland,SUI,6-1 6-3 6-0,1.1063674039962732,16.959703245424794,2033,41
2007,2007-05-28,Roland Garros,G,C,false,KO,128,128,0.903112155020552,2955,2055,Rafael Nadal,2,Spain,ESP,Roger Federer,1,Switzerland,SUI,6-3 4-6 6-3 6-4,1.1343373393679381,20.777085947699245,2075,38
2006,2006-05-29,Roland Garros,G,C,false,KO,128,128,0.9395184967704052,2923,2049,Rafael Nadal,2,Spain,ESP,Roger Federer,1,Switzerland,SUI,1-6 6-1 6-4 7-6(4),1.1326107990651282,18.173718324781763,2082,34
2005,2005-05-23,Roland Garros,G,C,false,KO,128,128,0.9025249559600704,2908,2046,Rafael Nadal,4,Spain,ESP,Mariano Puerta,,Argentina,ARG,6-7(6) 6-3 6-1 7-5,1.0675877686156179,22.072952631532026,2018,24
2004,2004-05-24,Roland Garros,G,C,false,KO,128,128,0.9283617146212566,2910,2047,Gaston Gaudio,,Argentina,ARG,Guillermo Coria,3,Argentina,ARG,0-6 3-6 6-4 6-1 8-6,1.0388764671494009,20.36544347543657,2061,25
2003,2003-05-26,Roland Garros,G,C,false,KO,128,128,0.9242513211978861,2862,2038,Juan Carlos Ferrero,3,Spain,ESP,Martin Verkerk,,Netherlands,NED,6-1 6-3 6-2,0.8655605675507846,32.05326453678855,2000,28
2002,2002-05-27,Roland Garros,G,C,false,KO,128,128,0.911332941867293,2887,2042,Albert Costa,20,Spain,ESP,Juan Carlos Ferrero,11,Spain,ESP,6-1 6-0 4-6 6-3,0.8961795693817796,32.92622027231854,1974,30
2001,2001-05-28,Roland Garros,G,C,false,KO,128,128,0.9618320610687023,2879,2041,Gustavo Kuerten,1,Brazil,BRA,Alex Corretja,13,Spain,ESP,6-7(3) 7-5 6-2 6-0,0.9288646800555785,26.40722569414183,1994,31
2000,2000-05-29,Roland Garros,G,C,false,KO,128,128,0.9794480328831474,2917,2048,Gustavo Kuerten,5,Brazil,BRA,Magnus Norman,3,Sweden,SWE,6-2 6-3 2-6 7-6(6),0.9349577608818813,18.862604175477426,2010,28
1999,1999-05-24,Roland Garros,G,C,false,KO,128,128,0.9330593071051086,2881,2041,Andre Agassi,13,United States,USA,Andrei Medvedev,,Ukraine,UKR,1-6 2-6 6-4 6-3 6-4,0.8063165098719257,50.32083684336648,1978,30
1998,1998-05-25,Roland Garros,G,C,false,KO,128,128,0.9759248385202584,2964,2057,Carlos Moya,12,Spain,ESP,Alex Corretja,14,Spain,ESP,6-3 7-5 6-3,0.9373900483733977,39.51435856921195,1972,31
