ID,gameID,HS_Hour,EB_Hour,HS_Day,HS_Month,EB_Month,HS_Year,EB_Year,EB_Hour_eng,EB_Day,EB_Day_eng,EB_Month_eng,EB_Year_eng,Season,Element,kin_tone,kin_seal,kin_number,guide_seal,guide_tone,analogue_seal,analogue_tone,antipode_seal,antipode_tone,occult_seal,occult_tone,tribe,a_tribe,sun,moon,ascendant
56,"1968-05-27-Roland Garros-Ken Rosewall-Rod Laver",N/A,N/A,"yin fire","yin fire","yin fire","yang earth","yang metal",N/A,"yin metal",rooster,snake,monkey,"Early Summer",neutral,resonant,storm,59,monkey,resonant,sun,resonant,moon,resonant,wind,resonant,yellow,blue,"Gem 06 14 31","Gem 08 17 11","Vir 03 09 56"
55,"1969-05-28-Roland Garros-Rod Laver-Ken Rosewall",N/A,N/A,"yin water","yin earth","yin fire","yin earth","yin metal",N/A,"yin wood",rabbit,snake,rooster,"Early Summer",neutral,solar,snake,165,dragon,solar,wizard,solar,eagle,solar,warrior,overtone,white,red,"Gem 06 58 14","Lib 25 16 15","Vir 03 57 21"
54,"1970-05-01-Roland Garros-Jan Kodes-Zeljko Franulovic",N/A,N/A,"yin metal","yang metal","yang earth","yang metal","yang earth",N/A,"yin fire",snake,dragon,dog,"Late Spring",earth,solar,night,243,storm,solar,warrior,solar,skyWalker,solar,mirror,overtone,yellow,blue,"Tau 10 41 39","Pis 17 19 39","Leo 06 36 40"
53,"1971-05-21-Roland Garros-Jan Kodes-Ilie Nastase",N/A,N/A,"yang fire","yin water","yin fire","yin metal","yin water",N/A,"yang fire",horse,snake,pig,"Early Summer",fire,selfexisting,star,108,seed,selfexisting,monkey,selfexisting,mirror,selfexisting,skyWalker,planetary,blue,yellow,"Tau 29 47 22","Ari 18 41 49","Leo 26 14 07"
52,"1972-05-22-Roland Garros-Andres Gimeno-Patrick Proisy",N/A,N/A,"yin water","yin wood","yin fire","yang water","yang water",N/A,"yin earth",ox,snake,rat,"Early Summer",water,rhythmic,wizard,214,wizard,rhythmic,snake,rhythmic,seed,rhythmic,hand,galactic,red,white,"Gem 01 28 57","Vir 29 11 44","Leo 28 02 13"
51,"1973-05-21-Roland Garros-Ilie Nastase-Nikola Pilic",N/A,N/A,"yin fire","yin fire","yin fire","yin water","yin earth",N/A,"yin fire",snake,snake,ox,"Early Summer",fire,rhythmic,mirror,58,mirror,rhythmic,dragon,rhythmic,star,rhythmic,night,galactic,red,white,"Gem 00 17 04","Cap 16 58 05","Leo 26 45 52"
50,"1974-06-03-Roland Garros-Bjorn Borg-Manuel Orantes",N/A,N/A,"yin wood","yin earth","yin fire","yang wood","yang wood",N/A,"yin water",pig,snake,tiger,"Early Summer",wood,resonant,warrior,176,star,resonant,night,resonant,worldBridger,resonant,snake,resonant,blue,yellow,"Gem 12 31 59","Sco 26 08 31","Vir 10 01 44"
49,"1975-06-04-Roland Garros-Bjorn Borg-Guillermo Vilas",N/A,N/A,"yin metal","yin metal","yin fire","yin wood","yin wood",N/A,"yin fire",snake,snake,rabbit,"Early Summer",fire,solar,wind,22,mirror,solar,earth,solar,human,solar,storm,overtone,red,white,"Gem 13 15 23","Ari 10 59 40","Vir 10 49 42"
48,"1976-05-31-Roland Garros-Adriano Panatta-Harold Solomon",N/A,N/A,"yin water","yin water","yin fire","yang fire","yang earth",N/A,"yin earth",sheep,snake,dragon,"Early Summer",earth,rhythmic,night,123,night,rhythmic,warrior,rhythmic,skyWalker,rhythmic,mirror,galactic,yellow,blue,"Gem 10 08 59","Can 08 06 19","Vir 07 24 52"
47,"1977-05-23-Roland Garros-Guillermo Vilas-Brian Gottfried",N/A,N/A,"yang metal","yin wood","yin fire","yin fire","yin fire",N/A,"yang earth",dragon,snake,snake,"Early Summer",fire,crystal,sun,220,human,crystal,storm,crystal,dog,crystal,dragon,lunar,blue,yellow,"Gem 02 14 05","Leo 01 25 23","Leo 28 50 48"
46,"1978-05-29-Roland Garros-Bjorn Borg-Guillermo Vilas",N/A,N/A,"yin metal","yin fire","yin fire","yang earth","yang fire",N/A,"yin wood",rabbit,snake,horse,"Early Summer",fire,rhythmic,monkey,71,monkey,rhythmic,star,rhythmic,dragon,rhythmic,dog,galactic,yellow,blue,"Gem 07 45 25","Pis 12 14 54","Vir 04 48 43"
45,"1979-05-28-Roland Garros-Bjorn Borg-Victor Pecci",N/A,N/A,"yin wood","yin earth","yin fire","yin earth","yin earth",N/A,"yin earth",sheep,snake,sheep,"Early Summer",earth,rhythmic,eagle,175,eagle,rhythmic,seed,rhythmic,snake,rhythmic,worldBridger,galactic,yellow,blue,"Gem 06 34 17","Can 06 23 04","Vir 03 30 58"
44,"1980-05-26-Roland Garros-Bjorn Borg-Vitas Gerulaitis",N/A,N/A,"yin earth","yin metal","yin fire","yang metal","yang metal",N/A,"yin water",pig,snake,monkey,"Early Summer",metal,overtone,mirror,18,worldBridger,overtone,dragon,overtone,star,overtone,night,solar,red,white,"Gem 05 22 34","Lib 26 40 47","Vir 02 13 26"
