name,ID,HS_Hour,EB_Hour,HS_Day,HS_Month,EB_Month,HS_Year,EB_Year,EB_Hour_eng,EB_Day,EB_Day_eng,EB_Month_eng,EB_Year_eng,Season,Element,kin_tone,kin_seal,kin_number,guide_seal,guide_tone,analogue_seal,analogue_tone,antipode_seal,antipode_tone,occult_seal,occult_tone,tribe,a_tribe,sun,moon,ascendant
"Ken Rosewall",1,N/A,N/A,"yin fire","yang wood","yang earth","yang wood","yang earth",N/A,"yin earth",ox,dog,dog,"Late Autumn",earth,lunar,star,28,sun,lunar,monkey,lunar,mirror,lunar,skyWalker,crystal,blue,yellow,"Sco 09 22 50","Vir 13 43 51","Aqu 08 38 32"
"Mal Anderson",2,N/A,N/A,"yang earth","yang earth","yang wood","yin wood","yin water",N/A,"yang wood",tiger,tiger,pig,"Early Spring",wood,rhythmic,moon,149,moon,rhythmic,dog,rhythmic,storm,rhythmic,human,galactic,white,red,"Pis 11 59 11","Aqu 19 07 35","Gem 11 50 55"
"Alejandro Olmedo",3,N/A,N/A,"yin wood","yin metal","yin wood","yang fire","yang water",N/A,"yin fire",snake,rabbit,rat,"Mid Spring",neutral,lunar,eagle,15,hand,lunar,seed,lunar,snake,lunar,worldBridger,crystal,yellow,blue,"Ari 03 40 50","Ari 22 39 06","Can 01 38 02"
"Roy Emerson",4,N/A,N/A,"yin earth","yang earth","yang earth","yang fire","yang water",N/A,"yin earth",ox,dog,rat,"Late Autumn",earth,overtone,storm,239,hand,overtone,sun,overtone,moon,overtone,wind,solar,yellow,blue,"Sco 10 53 37","Can 09 21 24","Aqu 10 07 04"
"Ramanathan Krishnan",5,N/A,N/A,"yang earth","yang wood","yang earth","yin fire","yin earth",N/A,"yang earth",dragon,dragon,ox,"Late Spring",earth,galactic,mirror,138,wind,galactic,dragon,galactic,star,galactic,night,rhythmic,red,white,"Ari 21 10 55","Ari 25 11 26","Can 17 47 45"
"Barry Phillips Moore",6,N/A,N/A,"yin fire","yin fire","yin earth","yin fire","yin earth",N/A,"yin metal",rooster,sheep,ox,"Late Summer",earth,rhythmic,hand,227,hand,rhythmic,human,rhythmic,earth,rhythmic,wizard,galactic,yellow,blue,"Can 16 50 15","Leo 04 48 07","Lib 18 26 16"
"Andres Gimeno",7,N/A,N/A,"yang water","yin fire","yin earth","yin fire","yin earth",N/A,"yang earth",dog,sheep,ox,"Late Summer",earth,overtone,human,252,sun,overtone,hand,overtone,wind,overtone,moon,solar,blue,yellow,"Leo 10 42 37","Can 00 15 43","Sco 14 06 33"
"Ron Holmberg",8,N/A,N/A,"yin earth","yin water","yin earth","yin fire","yin earth",N/A,"yin earth",sheep,ox,ox,"Late Winter",earth,cosmic,moon,169,skyWalker,cosmic,dog,cosmic,storm,cosmic,human,magnetic,white,red,"Aqu 06 54 30","Sag 22 08 49","Tau 08 29 11"
"Manuel Santana",9,N/A,N/A,"yang water","yin fire","yin fire","yang earth","yang wood",N/A,"yang wood",tiger,snake,tiger,"Early Summer",wood,crystal,human,12,seed,crystal,hand,crystal,wind,crystal,moon,lunar,blue,yellow,"Tau 19 10 00","Lib 04 18 03","Leo 15 09 47"
"Rod Laver",10,N/A,N/A,"yin water","yang metal","yang metal","yang earth","yang wood",N/A,"yin metal",rooster,monkey,tiger,"Early Autumn",metal,crystal,night,103,eagle,crystal,warrior,crystal,skyWalker,crystal,mirror,lunar,yellow,blue,"Leo 16 13 47","Cap 26 53 30","Sco 19 46 17"
"Fred Stolle",11,N/A,N/A,"yin water","yin metal","yin metal","yang earth","yang wood",N/A,"yin metal",rooster,rooster,tiger,"Mid Autumn",metal,resonant,night,163,eagle,resonant,warrior,resonant,skyWalker,resonant,mirror,resonant,yellow,blue,"Lib 14 32 48","Ari 03 35 21","Cap 15 10 00"
"Wilhelm Bungert",12,N/A,N/A,"yang earth","yin fire","yin wood","yin earth","yin wood",N/A,"yang earth",dragon,rabbit,rabbit,"Mid Spring",neutral,cosmic,mirror,78,wind,cosmic,dragon,cosmic,star,cosmic,night,magnetic,red,white,"Ari 10 52 11","Vir 04 30 01","Can 08 13 13"
"Christian Kuhnke",13,N/A,N/A,"yang metal","yang earth","yang earth","yin earth","yin wood",N/A,"yang earth",dragon,dragon,rabbit,"Late Spring",earth,crystal,dog,90,wind,crystal,moon,crystal,sun,crystal,monkey,lunar,red,white,"Ari 22 40 01","Aqu 12 35 20","Can 19 11 29"
"Ion Tiriac",14,N/A,N/A,"yang fire","yin earth","yin fire","yin earth","yin wood",N/A,"yang fire",horse,snake,rabbit,"Early Summer",fire,crystal,warrior,116,star,crystal,night,crystal,worldBridger,crystal,snake,lunar,blue,yellow,"Tau 17 58 05","Cap 26 39 42","Leo 13 56 07"
"Nikola Pilic",15,N/A,N/A,"yang fire","yang water","yang metal","yin earth","yin wood",N/A,"yang metal",monkey,monkey,rabbit,"Early Autumn",metal,overtone,worldBridger,226,wizard,overtone,skyWalker,overtone,warrior,overtone,eagle,solar,red,white,"Vir 03 18 54","Aqu 06 53 03","Sag 06 40 20"
"Boro Jovanovic",16,N/A,N/A,"yin metal","yang wood","yang earth","yin earth","yin wood",N/A,"yin wood",rabbit,dog,rabbit,"Late Autumn",wood,galactic,dragon,21,snake,galactic,mirror,galactic,monkey,galactic,sun,rhythmic,white,red,"Lib 27 11 23","Aqu 12 09 07","Cap 26 59 17"
"Bob Hewitt",17,N/A,N/A,"yang wood","yin fire","yin earth","yin earth","yin wood",N/A,"yang wood",tiger,ox,rabbit,"Late Winter",wood,cosmic,seed,104,star,cosmic,eagle,cosmic,wizard,cosmic,earth,magnetic,blue,yellow,"Cap 21 08 34","Aqu 23 59 28","Ari 22 32 16"
